ID;Согласие;Приоритет;Физика;Русский;Математика;ИД;Сумма;ФИО
10236;true;1;52;88;57;7;204;Петров Роман Артёмович
10237;true;1;54;53;94;5;206;Павлова Ольга Сергеевна
10238;false;1;83;75;75;7;240;Морозов Иван Александрович
10239;true;1;80;71;90;8;249;Егорова Ольга Дмитриевна
10240;true;1;54;68;61;2;185;Петров Андрей Артёмович
10241;true;1;64;81;78;5;228;Петрова Екатерина Кирилловна
10242;false;1;73;60;76;8;217;Кузнецова Юлия Ивановна
10243;true;1;90;66;88;6;250;Смирнова Ирина Андреевна
10244;true;1;66;97;55;0;218;Смирнов Егор Никитович
10245;false;1;73;83;58;0;214;Сидоров Кирилл Никитович
10246;true;1;51;93;95;1;240;Волкова Елена Ивановна
10247;false;1;84;100;94;0;278;Кузнецов Илья Михайлович
10248;false;1;73;78;88;1;240;Соколов Никита Артёмович
10249;true;1;71;51;54;0;176;Волков Даниил Андреевич
10250;false;1;100;64;98;7;269;Васильева Елена Артёмовна
10251;true;2;61;59;98;5;223;Михайлова Ольга Андреевна
10252;false;2;93;96;95;7;291;Попова Ольга Никитовна
10253;true;2;60;58;87;10;215;Соколов Илья Андреевич
10254;false;2;89;97;76;0;262;Козлов Андрей Кириллович
10255;true;2;89;92;75;0;256;Сидоров Илья Максимович
10256;false;2;82;64;58;6;210;Семенова Ирина Дмитриевна
10257;true;2;61;93;73;10;237;Михайлов Матвей Кириллович
10258;true;2;87;73;83;10;253;Михайлов Матвей Максимович
10259;false;2;92;86;95;0;273;Иванов Александр Никитович
10260;true;2;89;100;84;10;283;Федорова Мария Александровна
10261;true;2;74;64;60;5;203;Лебедева Виктория Андреевна
10262;false;2;83;96;73;3;255;Егорова Анна Никитовна
10263;true;2;73;76;66;4;219;Павлова Светлана Ивановна
10264;true;2;82;56;99;7;244;Алексеева Светлана Михайловна
10265;true;2;66;90;50;1;207;Михайлов Сергей Артёмович
10266;true;2;65;67;58;10;200;Морозов Сергей Сергеевич
10267;false;2;72;88;64;4;228;Попов Александр Иванович
10268;false;2;60;68;60;0;188;Морозов Андрей Иванович
10269;false;2;95;74;75;4;248;Сидоров Илья Андреевич
10270;false;2;65;67;50;6;188;Иванов Андрей Максимович
10271;true;3;92;60;70;4;226;Костин Даниил Никитович
10272;true;3;59;94;100;5;258;Новиков Илья Сергеевич
10273;true;3;96;69;60;10;235;Егорова Мария Михайловна
10274;true;3;56;98;91;4;249;Васильев Александр Кириллович
10275;false;3;63;86;64;9;222;Лебедев Матвей Михайлович
10276;true;3;55;97;51;6;209;Волков Егор Никитович
10277;true;3;51;71;74;0;196;Егорова Полина Сергеевна
10278;false;3;52;96;84;9;241;Сидорова Екатерина Ивановна
10279;false;3;61;74;60;7;202;Павлова Мария Кирилловна
10280;true;3;72;83;59;0;214;Попов Максим Никитович
10281;false;4;82;85;65;5;237;Семенов Даниил Дмитриевич
10282;true;4;59;62;53;0;174;Волкова Елена Михайловна
10283;false;4;95;58;59;9;221;Костин Егор Александрович
10284;true;4;66;95;82;6;249;Васильева Ирина Дмитриевна
10285;true;4;79;66;74;0;219;Егорова Софья Михайловна
10286;true;4;63;94;58;0;215;Павлов Роман Сергеевич
10287;true;4;98;61;78;8;245;Павлова Алина Кирилловна
10288;false;4;92;61;83;5;241;Петров Никита Кириллович
10289;true;4;66;60;61;1;188;Егоров Максим Александрович
10290;true;4;81;83;71;0;235;Волков Сергей Никитович
