ID;Согласие;Приоритет;Физика;Русский;Математика;ИД;Сумма;ФИО
10346;true;1;80;74;67;4;225;Лебедева Ольга Михайловна
10347;false;1;83;90;80;2;255;Лебедева Юлия Михайловна
10348;true;1;97;56;92;10;255;Костина Алина Дмитриевна
10349;true;1;56;69;72;9;206;Егорова Софья Максимовна
10350;true;1;84;97;84;3;268;Соколова Ирина Ивановна
10351;true;1;98;68;85;0;251;Волков Артем Никитович
10352;false;1;98;82;85;2;267;Волкова Анна Артёмовна
10353;false;1;78;98;54;10;240;Семенов Иван Сергеевич
10354;false;1;79;79;96;0;254;Костина Дарья Дмитриевна
10355;false;1;51;82;94;1;228;Попова Алина Дмитриевна
10356;true;2;82;84;58;0;224;Васильева Ирина Дмитриевна
10357;true;2;51;97;64;7;219;Егоров Кирилл Сергеевич
10358;true;2;88;88;81;7;264;Сидорова Алина Андреевна
10359;true;2;55;71;100;4;230;Егоров Егор Александрович
10360;true;2;93;83;73;2;251;Морозова Наталья Дмитриевна
10361;true;2;89;70;78;5;242;Смирнова Татьяна Михайловна
10362;true;2;88;55;76;5;224;Алексеев Михаил Артёмович
10363;true;2;66;79;58;4;207;Попова Мария Максимовна
10364;true;2;61;70;61;6;198;Петрова Анна Александровна
10365;true;2;81;76;59;9;225;Попов Кирилл Михайлович
10366;true;2;57;69;71;7;204;Соколов Иван Александрович
10367;true;2;68;84;54;4;210;Петров Матвей Максимович
10368;true;2;92;98;79;1;270;Михайлов Кирилл Михайлович
10369;true;2;95;96;70;8;269;Петрова Татьяна Ивановна
10370;false;2;61;69;57;9;196;Михайлов Артем Никитович
10371;true;2;67;92;93;8;260;Новикова Полина Ивановна
10372;true;2;66;78;89;8;241;Козлов Сергей Михайлович
10373;false;2;81;67;68;3;219;Павлова Татьяна Александровна
10374;false;2;90;71;96;4;261;Семенов Никита Артёмович
10375;true;2;74;63;70;5;212;Иванов Дмитрий Максимович
10376;false;3;96;90;76;0;262;Егорова Софья Максимовна
10377;false;3;91;60;86;10;247;Кузнецов Кирилл Максимович
10378;true;3;77;87;84;10;258;Семенов Роман Сергеевич
10379;true;3;74;60;73;10;217;Новикова Ирина Кирилловна
10380;false;3;54;66;67;3;190;Сидоров Александр Сергеевич
10381;false;3;89;56;95;7;247;Новикова Наталья Максимовна
10382;false;3;86;98;94;9;287;Новиков Артем Дмитриевич
10383;true;3;78;50;92;1;221;Алексеева Виктория Андреевна
10384;true;3;66;82;53;0;201;Попов Егор Александрович
10385;true;3;83;66;83;2;234;Семенов Роман Сергеевич
10386;true;4;99;72;94;4;269;Алексеев Андрей Максимович
10387;true;4;80;71;50;7;208;Козлов Матвей Кириллович
10388;true;4;80;50;85;2;217;Павлова Софья Михайловна
10389;true;4;59;58;56;8;181;Егорова Полина Дмитриевна
10390;true;4;91;81;86;3;261;Васильева Анна Андреевна
10391;true;4;73;87;52;6;218;Петров Иван Максимович
10392;false;4;80;85;83;6;254;Иванов Максим Михайлович
10393;true;4;58;88;97;5;248;Сидоров Сергей Андреевич
10394;true;4;68;94;76;6;244;Федоров Дмитрий Михайлович
10395;false;4;72;53;70;4;199;Попова Ирина Андреевна
