ID;Согласие;Приоритет;Физика;Русский;Математика;ИД;Сумма;ФИО
10001;true;1;51;65;56;2;174;Новикова Светлана Кирилловна
10002;true;1;57;90;95;5;247;Федорова Ольга Артёмовна
10003;true;1;84;74;80;4;242;Егоров Максим Сергеевич
10004;false;1;68;91;94;9;262;Лебедева Софья Никитовна
10005;true;1;58;62;87;0;207;Федоров Егор Дмитриевич
10006;true;1;65;54;61;2;182;Костин Андрей Александрович
10007;true;1;95;57;87;6;245;Смирнов Роман Александрович
10008;false;1;79;57;55;9;200;Петрова Софья Сергеевна
10009;true;1;73;61;86;7;227;Иванов Андрей Андреевич
10010;true;1;89;77;79;10;255;Егоров Кирилл Артёмович
10011;false;1;97;77;82;10;266;Алексеев Егор Артёмович
10012;true;1;70;91;74;3;238;Федоров Егор Дмитриевич
10013;true;1;54;71;54;1;180;Павлова Алина Кирилловна
10014;true;1;79;59;51;7;196;Волкова Виктория Максимовна
10015;true;1;81;58;95;6;240;Павлова Дарья Артёмовна
10016;false;1;56;62;91;10;219;Костина Светлана Ивановна
10017;true;1;53;89;89;4;235;Алексеев Дмитрий Кириллович
10018;true;1;70;78;55;6;209;Семенов Дмитрий Андреевич
10019;false;1;94;95;73;2;264;Попова Екатерина Андреевна
10020;true;1;87;77;76;9;249;Семенов Даниил Александрович
10021;false;1;53;86;53;1;193;Алексеев Артем Михайлович
10022;true;1;67;86;65;7;225;Михайлова Светлана Дмитриевна
10023;true;1;61;63;77;3;204;Семенова Екатерина Ивановна
10024;true;1;71;75;56;4;206;Костина Алина Александровна
10025;true;1;61;65;82;5;213;Алексеев Сергей Михайлович
10026;true;1;95;82;57;2;236;Костина Юлия Кирилловна
10027;true;1;79;58;80;7;224;Иванова Ольга Ивановна
10028;true;1;98;57;75;6;236;Кузнецов Андрей Александрович
10029;true;1;52;97;87;9;245;Семенова Екатерина Михайловна
10030;true;1;94;65;93;2;254;Васильев Максим Артёмович
10031;true;1;98;67;78;2;245;Федоров Сергей Андреевич
10032;false;1;54;75;94;7;230;Петрова Ирина Дмитриевна
10033;true;1;77;88;71;8;244;Иванов Александр Артёмович
10034;true;1;86;68;99;6;259;Сидорова Виктория Ивановна
10035;true;1;60;72;76;2;210;Егорова Анна Максимовна
10036;true;1;92;72;93;3;260;Козлова Ирина Александровна
10037;true;1;92;81;89;2;264;Смирнов Никита Иванович
10038;true;1;100;93;51;6;250;Козлова Елена Кирилловна
10039;true;1;79;55;71;7;212;Соколов Иван Михайлович
10040;false;1;90;75;87;0;252;Федорова Юлия Максимовна
10041;false;1;66;50;63;7;186;Федорова Юлия Михайловна
10042;false;1;81;87;75;2;245;Соколова Ольга Кирилловна
10043;true;1;87;90;100;8;285;Лебедева Алина Андреевна
10044;true;1;68;61;80;9;218;Иванов Егор Максимович
10045;true;1;98;65;82;8;253;Новиков Артем Никитович
10046;true;1;82;72;67;8;229;Петров Дмитрий Александрович
